DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2023/11/03 16:18:00,NOAA-20,Brasil,GOIÁS,CAVALCANTE,Cerrado,1,4.58,0.01,4.2,-13.31179,-47.41415
2023/11/03 16:18:00,NOAA-20,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,3.18,0.05,13.1,-13.35955,-47.40219
2023/11/03 17:07:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,1,2.52,0.1,1.6,-13.46314,-47.33398
2023/11/03 17:07:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,1,3.26,0.07,9.3,-13.35206,-47.39842
2023/11/04 15:58:00,NOAA-20,Brasil,GOIÁS,CAVALCANTE,Cerrado,1,20.64,0.0,16.8,-13.21756,-47.51006
2023/11/04 15:58:00,NOAA-20,Brasil,GOIÁS,CAVALCANTE,Cerrado,1,21.93,0.0,4.6,-13.30366,-47.44484
2023/11/04 16:50:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,1,20.38,0.0,4.1,-13.30479,-47.4568
2023/11/04 16:50:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,5.14,0.01,5.5,-13.51671,-47.4495
2023/11/04 16:50:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,0,22.21,0.0,2.9,-13.29958,-47.44594
2023/11/04 16:50:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,3.88,0.07,3.2,-13.30507,-47.63435
2023/11/04 16:50:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,14.09,0.0,10.1,-13.425,-47.39871
2023/11/04 16:50:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,1,12.23,0.0,4.9,-13.23897,-47.57014
2023/11/04 16:50:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,1,21.12,0.0,2.4,-13.307,-47.44877
2023/11/04 16:50:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,3.83,0.05,3.2,-13.30846,-47.63382
2023/11/04 16:50:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,1,20.84,0.0,3.7,-13.31041,-47.44832
2023/11/04 17:13:00,AQUA_M-T,Brasil,GOIÁS,CAVALCANTE,Cerrado,1,11.32,0.0,6.6,-13.24049,-47.57791
2023/11/05 16:30:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,27.5,0.0,6.3,-13.64663,-47.52849
2023/11/05 16:30:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,27.71,0.0,6.3,-13.64723,-47.53281
2023/11/05 16:30:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,27.68,0.0,23.5,-13.6399,-47.53391
2023/11/05 16:30:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,25.27,0.0,9.8,-13.63217,-47.47741
2023/11/05 16:30:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,1,22.63,0.0,7.0,-13.33622,-47.43182
2023/11/05 16:30:00,NPP-375,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,21.84,0.0,3.3,-13.27434,-47.59747
2023/11/05 17:19:00,NOAA-20,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,25.11,0.0,4.0,-13.63097,-47.47216
2023/11/05 17:19:00,NOAA-20,Brasil,GOIÁS,CAVALCANTE,Cerrado,0,22.2,0.0,5.7,-13.29276,-47.40475
2023/11/05 17:19:00,NOAA-20,Brasil,GOIÁS,CAVALCANTE,Cerrado,0,22.13,0.0,5.7,-13.2921,-47.40136
2023/11/05 17:19:00,NOAA-20,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,21.84,0.0,12.0,-13.27578,-47.59392
2023/11/05 17:19:00,NOAA-20,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,21.89,0.0,12.8,-13.27512,-47.59042
2023/11/05 17:19:00,NOAA-20,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,21.87,0.0,9.0,-13.27479,-47.59385
2023/11/05 17:19:00,NOAA-20,Brasil,GOIÁS,CAVALCANTE,Cerrado,2,21.92,0.0,9.0,-13.27409,-47.59031
2023/11/07 16:41:00,NOAA-20,Brasil,GOIÁS,CAVALCANTE,Cerrado,0,3.01,0.06,3.4,-13.48677,-47.95195
